Total Accession Numbers: 474

Accession: MGYP001273916520, Status Code: 404
Accession: MGYP001475314347, Status Code: 200
Accession: MGYP001273540215, Status Code: 404
Accession: MGYP003109322969, Status Code: 200
Accession: MGYP001208524322, Status Code: 200
Accession: MGYP001178601867, Status Code: 404
Accession: MGYP003109964566, Status Code: 404
Accession: MGYP001277599781, Status Code: 200
Accession: MGYP001207042231, Status Code: 404
Accession: MGYP001403616739, Status Code: 404
Accession: MGYP003109323350, Status Code: 200
Accession: MGYP003110882450, Status Code: 404
Accession: MGYP003110882469, Status Code: 404
Accession: MGYP003110882489, Status Code: 200
Accession: MGYP003110882539, Status Code: 200
Accession: MGYP003110882541, Status Code: 404
Accession: MGYP003110882550, Status Code: 200
Accession: MGYP003110882604, Status Code: 200
Accession: MGYP003110882625, Status Code: 200
Accession: MGYP003110882671, Status Code: 404
Accession: MGYP003110882791, Status Code: 404
Accession: MGYP003110882797, Status Code: 200
Accession: MGYP003110882799, Status Code: 200
Accession: MGYP001156926021, Status Code: 404
Accession: MGYP003110882854, Status Code: 200
Accession: MGYP003110882860, Status Code: 200
Accession: MGYP003110882883, Status Code: 404
Accession: MGYP001156758453, Status Code: 404
Accession: MGYP003111233400, Status Code: 200
Accession: MGYP003111233478, Status Code: 404
Accession: MGYP003111233480, Status Code: 200
Accession: MGYP003111233488, Status Code: 404
Accession: MGYP003111233492, Status Code: 200
Accession: MGYP003111233563, Status Code: 200
Accession: MGYP003111233573, Status Code: 200
Accession: MGYP003111233582, Status Code: 404
Accession: MGYP003111233622, Status Code: 200
Accession: MGYP003111233659, Status Code: 404
Accession: MGYP003111233796, Status Code: 404
Accession: MGYP003111297788, Status Code: 404
Accession: MGYP003111297871, Status Code: 200
Accession: MGYP003111297914, Status Code: 200
Accession: MGYP003111297944, Status Code: 404
Accession: MGYP003111297968, Status Code: 404
Accession: MGYP001334637610, Status Code: 404
Accession: MGYP003111298183, Status Code: 404
Accession: MGYP003111298200, Status Code: 404
Accession: MGYP003111298253, Status Code: 200
Accession: MGYP001222224787, Status Code: 404
Accession: MGYP001241384764, Status Code: 404
Accession: MGYP003111298601, Status Code: 404
Accession: MGYP001434528231, Status Code: 200
Accession: MGYP001246807769, Status Code: 404
Accession: MGYP001164885470, Status Code: 200
Accession: MGYP001221069347, Status Code: 404
Accession: MGYP003111298844, Status Code: 200
Accession: MGYP001379529187, Status Code: 200
Accession: MGYP003113059623, Status Code: 404
Accession: MGYP001345471584, Status Code: 404
Accession: MGYP001243896892, Status Code: 200
Accession: MGYP003113059799, Status Code: 404
Accession: MGYP003113059818, Status Code: 404
Accession: MGYP003113059868, Status Code: 200
Accession: MGYP003113059879, Status Code: 404
Accession: MGYP003113059913, Status Code: 404
Accession: MGYP003113059926, Status Code: 200
Accession: MGYP003113059955, Status Code: 200
Accession: MGYP003113059967, Status Code: 404
Accession: MGYP003113059982, Status Code: 404
Accession: MGYP003113059991, Status Code: 404
Accession: MGYP003113060062, Status Code: 404
Accession: MGYP003113060324, Status Code: 404
Accession: MGYP003113060575, Status Code: 404
Accession: MGYP003113060629, Status Code: 404
Accession: MGYP003113060631, Status Code: 200
Accession: MGYP003113060634, Status Code: 404
Accession: MGYP001369594368, Status Code: 404
Accession: MGYP001435961740, Status Code: 404
Accession: MGYP001179990065, Status Code: 200
Accession: MGYP003108819897, Status Code: 404
Accession: MGYP001235517974, Status Code: 404
Accession: MGYP001337096511, Status Code: 404
Accession: MGYP003108819988, Status Code: 200
Accession: MGYP001250420303, Status Code: 404
Accession: MGYP001374959022, Status Code: 200
Accession: MGYP001213850036, Status Code: 200
Accession: MGYP003131024615, Status Code: 404
Accession: MGYP001285633831, Status Code: 404
Accession: MGYP003131024654, Status Code: 404
Accession: MGYP003131404956, Status Code: 404
Accession: MGYP003131404975, Status Code: 404
Accession: MGYP003131404989, Status Code: 200
Accession: MGYP001258357109, Status Code: 404
Accession: MGYP001460135749, Status Code: 200
Accession: MGYP001461491847, Status Code: 200
Accession: MGYP001225842149, Status Code: 200
Accession: MGYP001217703468, Status Code: 404
Accession: MGYP001164885470, Status Code: 200
Accession: MGYP001281378533, Status Code: 404
Accession: MGYP001353276347, Status Code: 404
Accession: MGYP001316708597, Status Code: 404
Accession: MGYP003128774620, Status Code: 404
Accession: MGYP003128774641, Status Code: 404
Accession: MGYP003131986682, Status Code: 404
Accession: MGYP001383059849, Status Code: 200
Accession: MGYP003131986711, Status Code: 404
Accession: MGYP003131986714, Status Code: 404
Accession: MGYP003131986742, Status Code: 404
Accession: MGYP003115440145, Status Code: 404
Accession: MGYP003131986779, Status Code: 404
Accession: MGYP003130096312, Status Code: 404
Accession: MGYP003131986813, Status Code: 200
Accession: MGYP003131986822, Status Code: 404
Accession: MGYP001363206368, Status Code: 404
Accession: MGYP003131986838, Status Code: 200
Accession: MGYP003131986841, Status Code: 404
Accession: MGYP003125325039, Status Code: 404
Accession: MGYP001324831936, Status Code: 404
Accession: MGYP003131986905, Status Code: 404
Accession: MGYP003128492962, Status Code: 200
Accession: MGYP003131986953, Status Code: 404
Accession: MGYP003128493212, Status Code: 404
Accession: MGYP003134444290, Status Code: 200
Accession: MGYP003134444350, Status Code: 200
Accession: MGYP003134444383, Status Code: 200
Accession: MGYP003134444393, Status Code: 404
Accession: MGYP003134444403, Status Code: 200
Accession: MGYP001188558140, Status Code: 200
Accession: MGYP001453322898, Status Code: 200
Accession: MGYP003134444521, Status Code: 200
Accession: MGYP001457388089, Status Code: 404
Accession: MGYP003134444654, Status Code: 200
Accession: MGYP003134444684, Status Code: 404
Accession: MGYP003134444702, Status Code: 404
Accession: MGYP003331015558, Status Code: 200
Accession: MGYP003331015572, Status Code: 200
Accession: MGYP003331015602, Status Code: 404
Accession: MGYP003331015613, Status Code: 200
Accession: MGYP003331015627, Status Code: 200
Accession: MGYP003331015693, Status Code: 404
Accession: MGYP003331015724, Status Code: 200
Accession: MGYP003331015739, Status Code: 200
Accession: MGYP003323514296, Status Code: 200
Accession: MGYP003331015835, Status Code: 200
Accession: MGYP003331015935, Status Code: 404
Accession: MGYP003331015968, Status Code: 404
Accession: MGYP003331015983, Status Code: 200
Accession: MGYP003331016004, Status Code: 404
Accession: MGYP003331016011, Status Code: 200
Accession: MGYP003331016023, Status Code: 200
Accession: MGYP003331016054, Status Code: 200
Accession: MGYP003331016094, Status Code: 404
Accession: MGYP003331016224, Status Code: 200
Accession: MGYP003331016245, Status Code: 404
Accession: MGYP003331016264, Status Code: 404
Accession: MGYP003347452580, Status Code: 200
Accession: MGYP003331016245, Status Code: 404
Accession: MGYP003331016224, Status Code: 200
Accession: MGYP003331016094, Status Code: 404
Accession: MGYP003331016054, Status Code: 200
Accession: MGYP003331016023, Status Code: 200
Accession: MGYP003331016011, Status Code: 200
Accession: MGYP003339600600, Status Code: 404
Accession: MGYP003331015983, Status Code: 200
Accession: MGYP003331015968, Status Code: 404
Accession: MGYP003332394819, Status Code: 404
Accession: MGYP003331015835, Status Code: 200
Accession: MGYP003323514296, Status Code: 200
Accession: MGYP003331015739, Status Code: 200
Accession: MGYP003331015724, Status Code: 200
Accession: MGYP003331015693, Status Code: 404
Accession: MGYP003331015627, Status Code: 200
Accession: MGYP003331015613, Status Code: 200
Accession: MGYP003331015602, Status Code: 404
Accession: MGYP003331015572, Status Code: 200
Accession: MGYP003331015558, Status Code: 200
Accession: MGYP003347452580, Status Code: 200
Accession: MGYP003331016245, Status Code: 404
Accession: MGYP003331016224, Status Code: 200
Accession: MGYP003331016094, Status Code: 404
Accession: MGYP003331016054, Status Code: 200
Accession: MGYP003331016023, Status Code: 200
Accession: MGYP003331016011, Status Code: 200
Accession: MGYP003339600600, Status Code: 404
Accession: MGYP003331015983, Status Code: 200
Accession: MGYP003331015968, Status Code: 404
Accession: MGYP003332394819, Status Code: 404
Accession: MGYP003331015835, Status Code: 200
Accession: MGYP003323514296, Status Code: 200
Accession: MGYP003331015739, Status Code: 200
Accession: MGYP003331015724, Status Code: 200
Accession: MGYP003331015693, Status Code: 404
Accession: MGYP003331015627, Status Code: 200
Accession: MGYP003331015613, Status Code: 200
Accession: MGYP003331015602, Status Code: 404
Accession: MGYP003331015572, Status Code: 200
Accession: MGYP003331015558, Status Code: 200
Accession: MGYP003334201546, Status Code: 200
Accession: MGYP003333653427, Status Code: 404
Accession: MGYP003337427694, Status Code: 404
Accession: MGYP003333251979, Status Code: 200
Accession: MGYP003344412993, Status Code: 404
Accession: MGYP003341040956, Status Code: 404
Accession: MGYP003333519427, Status Code: 200
Accession: MGYP003334185446, Status Code: 404
Accession: MGYP003341041055, Status Code: 200
Accession: MGYP003344413222, Status Code: 404
Accession: MGYP003341041167, Status Code: 200
Accession: MGYP003340714848, Status Code: 200
Accession: MGYP003332756948, Status Code: 404
Accession: MGYP003324939005, Status Code: 404
Accession: MGYP003333785714, Status Code: 404
Accession: MGYP003344413418, Status Code: 404
Accession: MGYP003324939103, Status Code: 404
Accession: MGYP003344413475, Status Code: 404
Accession: MGYP003334794431, Status Code: 404
Accession: MGYP003344192104, Status Code: 200
Accession: MGYP003344413564, Status Code: 404
Accession: MGYP003626144734, Status Code: 404
Accession: MGYP003626144743, Status Code: 200
Accession: MGYP003626144756, Status Code: 404
Accession: MGYP003626144762, Status Code: 200
Accession: MGYP003626144770, Status Code: 404
Accession: MGYP003626144772, Status Code: 404
Accession: MGYP003626144776, Status Code: 404
Accession: MGYP003626144780, Status Code: 404
Accession: MGYP003626144784, Status Code: 404
Accession: MGYP003626144821, Status Code: 200
Accession: MGYP003626144823, Status Code: 200
Accession: MGYP003627242509, Status Code: 404
Accession: MGYP003627242511, Status Code: 200
Accession: MGYP003627242514, Status Code: 404
Accession: MGYP003627242516, Status Code: 404
Accession: MGYP003627242520, Status Code: 404
Accession: MGYP003627242522, Status Code: 200
Accession: MGYP003627242524, Status Code: 200
Accession: MGYP003632746066, Status Code: 404
Accession: MGYP003626701918, Status Code: 200
Accession: MGYP003626701919, Status Code: 404
Accession: MGYP003626701920, Status Code: 404
Accession: MGYP003626701927, Status Code: 404
Accession: MGYP003626667069, Status Code: 404
Accession: MGYP003626701964, Status Code: 200
Accession: MGYP003626701965, Status Code: 404
Accession: MGYP003626701969, Status Code: 404
Accession: MGYP003132933513, Status Code: 404
Accession: MGYP003132933507, Status Code: 404
Accession: MGYP003626702006, Status Code: 404
Accession: MGYP003626702015, Status Code: 404
Accession: MGYP003626702020, Status Code: 200
Accession: MGYP003627242509, Status Code: 404
Accession: MGYP003627242511, Status Code: 200
Accession: MGYP003627242514, Status Code: 404
Accession: MGYP003627242516, Status Code: 404
Accession: MGYP003627242520, Status Code: 404
Accession: MGYP003627242522, Status Code: 200
Accession: MGYP003627242524, Status Code: 200
Accession: MGYP003632746066, Status Code: 404
Accession: MGYP003626701918, Status Code: 200
Accession: MGYP003626701919, Status Code: 404
Accession: MGYP003626701920, Status Code: 404
Accession: MGYP003626701927, Status Code: 404
Accession: MGYP003626667069, Status Code: 404
Accession: MGYP003626701964, Status Code: 200
Accession: MGYP003626701965, Status Code: 404
Accession: MGYP003626701969, Status Code: 404
Accession: MGYP003132933513, Status Code: 404
Accession: MGYP003132933507, Status Code: 404
Accession: MGYP003626702020, Status Code: 200
Accession: MGYP003626702015, Status Code: 404
Accession: MGYP003664361533, Status Code: 404
Accession: MGYP003132933507, Status Code: 404
Accession: MGYP003132933513, Status Code: 404
Accession: MGYP003626701969, Status Code: 404
Accession: MGYP003626701965, Status Code: 404
Accession: MGYP003626701964, Status Code: 200
Accession: MGYP003626667069, Status Code: 404
Accession: MGYP003626701927, Status Code: 404
Accession: MGYP003626701920, Status Code: 404
Accession: MGYP003626701919, Status Code: 404
Accession: MGYP003626701918, Status Code: 200
Accession: MGYP003632746066, Status Code: 404
Accession: MGYP003627242524, Status Code: 200
Accession: MGYP003627242522, Status Code: 200
Accession: MGYP003627242520, Status Code: 404
Accession: MGYP003627242516, Status Code: 404
Accession: MGYP003627242514, Status Code: 404
Accession: MGYP003627242511, Status Code: 200
Accession: MGYP003627242509, Status Code: 404
Accession: MGYP003670448336, Status Code: 404
Accession: MGYP003647036054, Status Code: 404
Accession: MGYP003627242514, Status Code: 404
Accession: MGYP003627242516, Status Code: 404
Accession: MGYP003627242520, Status Code: 404
Accession: MGYP003627242522, Status Code: 200
Accession: MGYP003627242524, Status Code: 200
Accession: MGYP003632746066, Status Code: 404
Accession: MGYP003626701918, Status Code: 200
Accession: MGYP003626701919, Status Code: 404
Accession: MGYP003626701920, Status Code: 404
Accession: MGYP003626701927, Status Code: 404
Accession: MGYP003626667069, Status Code: 404
Accession: MGYP003626701964, Status Code: 200
Accession: MGYP003626701965, Status Code: 404
Accession: MGYP003626701969, Status Code: 404
Accession: MGYP003132933513, Status Code: 404
Accession: MGYP003132933507, Status Code: 404
Accession: MGYP003664361533, Status Code: 404
Accession: MGYP003626702015, Status Code: 404
Accession: MGYP003626702020, Status Code: 200
Accession: MGYP003670178949, Status Code: 404
Accession: MGYP003626701927, Status Code: 404
Accession: MGYP003626701920, Status Code: 404
Accession: MGYP003626701919, Status Code: 404
Accession: MGYP003626701918, Status Code: 200
Accession: MGYP003632746066, Status Code: 404
Accession: MGYP003627242524, Status Code: 200
Accession: MGYP003627242522, Status Code: 200
Accession: MGYP003627242520, Status Code: 404
Accession: MGYP003627242516, Status Code: 404
Accession: MGYP003627242514, Status Code: 404
Accession: MGYP003627242511, Status Code: 200
Accession: MGYP003627242509, Status Code: 404
Accession: MGYP003636931262, Status Code: 404
Accession: MGYP003624947086, Status Code: 404
Accession: MGYP003624947082, Status Code: 404
Accession: MGYP003624947079, Status Code: 404
Accession: MGYP003631185249, Status Code: 404
Accession: MGYP001577081125, Status Code: 404
Accession: MGYP003624947042, Status Code: 404
Accession: MGYP003119741138, Status Code: 404
Accession: MGYP003119741124, Status Code: 404
Accession: MGYP003624946996, Status Code: 404
Accession: MGYP003624946991, Status Code: 404
Accession: MGYP003638549746, Status Code: 404
Accession: MGYP003388788649, Status Code: 404
Accession: MGYP003388175378, Status Code: 200
Accession: MGYP003388175374, Status Code: 200
Accession: MGYP003636309103, Status Code: 404
Accession: MGYP003631920257, Status Code: 404
Accession: MGYP003388175355, Status Code: 404
Accession: MGYP003124146472, Status Code: 404
Accession: MGYP003388175341, Status Code: 404
Accession: MGYP003388175338, Status Code: 404
Accession: MGYP003388175336, Status Code: 404
Accession: MGYP003629423282, Status Code: 200
Accession: MGYP003662477619, Status Code: 404
Accession: MGYP000580594058, Status Code: 404
Accession: MGYP001076612836, Status Code: 404
Accession: MGYP001044599892, Status Code: 404
Accession: MGYP001121521492, Status Code: 404
Accession: MGYP000161867939, Status Code: 404
Accession: MGYP001144230547, Status Code: 404
Accession: MGYP001278079140, Status Code: 200
Accession: MGYP000350595366, Status Code: 404
Accession: MGYP003662477660, Status Code: 404
Accession: MGYP000055712017, Status Code: 404
Accession: MGYP000880839916, Status Code: 404
Accession: MGYP000882958227, Status Code: 404
Accession: MGYP000191352606, Status Code: 404
Accession: MGYP000521613406, Status Code: 200
Accession: MGYP000530459459, Status Code: 404
Accession: MGYP003627352942, Status Code: 200
Accession: MGYP001017839921, Status Code: 200
Accession: MGYP000909089093, Status Code: 404
Accession: MGYP000935221727, Status Code: 200
Accession: MGYP003662629166, Status Code: 200
Accession: MGYP003662629170, Status Code: 404
Accession: MGYP003627213974, Status Code: 404
Accession: MGYP003624176031, Status Code: 404
Accession: MGYP003662629181, Status Code: 200
Accession: MGYP003624779167, Status Code: 200
Accession: MGYP003627391449, Status Code: 200
Accession: MGYP003662629194, Status Code: 404
Accession: MGYP003662629195, Status Code: 200
Accession: MGYP003662629199, Status Code: 404
Accession: MGYP003624281291, Status Code: 200
Accession: MGYP003647246103, Status Code: 404
Accession: MGYP003624520222, Status Code: 200
Accession: MGYP003662771788, Status Code: 200
Accession: MGYP003625000029, Status Code: 200
Accession: MGYP003625000032, Status Code: 200
Accession: MGYP003625000034, Status Code: 404
Accession: MGYP001443737744, Status Code: 200
Accession: MGYP001353003222, Status Code: 200
Accession: MGYP003629576029, Status Code: 404
Accession: MGYP003624593646, Status Code: 200
Accession: MGYP001374669402, Status Code: 200
Accession: MGYP003624593661, Status Code: 200
Accession: MGYP001187770503, Status Code: 200

Available sequences: 195

List of available sequences: ['MGYP001327798979', 'MGYP001284084291', 'MGYP001325026281', 'MGYP001460135749', 'MGYP001461491847', 'MGYP001225842149', 'MGYP001164885470', 'MGYP003109280648', 'MGYP003109280734', 'MGYP003113449517', 'MGYP003109256345', 'MGYP001412933479', 'MGYP003121124990', 'MGYP003121125013', 'MGYP001467062956', 'MGYP003121125128', 'MGYP001221972785', 'MGYP001389876502', 'MGYP003121125337', 'MGYP001365457042', 'MGYP003109322398', 'MGYP003109322410', 'MGYP001322508082', 'MGYP003109322860', 'MGYP001475314347', 'MGYP003109322969', 'MGYP001208524322', 'MGYP003109323231', 'MGYP001277599781', 'MGYP003109323350', 'MGYP003109322860', 'MGYP001322508082', 'MGYP003109322410', 'MGYP003109322398', 'MGYP001365457042', 'MGYP001365457042', 'MGYP003109322398', 'MGYP003109322410', 'MGYP001322508082', 'MGYP003109322860', 'MGYP001475314347', 'MGYP003109322969', 'MGYP001208524322', 'MGYP001277599781', 'MGYP003109323350', 'MGYP003110882489', 'MGYP003110882539', 'MGYP003110882550', 'MGYP003110882604', 'MGYP003110882625', 'MGYP003110882797', 'MGYP003110882799', 'MGYP003110882854', 'MGYP003110882860', 'MGYP003111233400', 'MGYP003111233480', 'MGYP003111233492', 'MGYP003111233563', 'MGYP003111233573', 'MGYP003111233622', 'MGYP003111297871', 'MGYP003111297914', 'MGYP003111298253', 'MGYP001434528231', 'MGYP001164885470', 'MGYP003111298844', 'MGYP001379529187', 'MGYP001243896892', 'MGYP003113059868', 'MGYP003113059926', 'MGYP003113059955', 'MGYP003113060631', 'MGYP001179990065', 'MGYP003108819988', 'MGYP001374959022', 'MGYP001213850036', 'MGYP003131404989', 'MGYP001460135749', 'MGYP001461491847', 'MGYP001225842149', 'MGYP001164885470', 'MGYP001383059849', 'MGYP003131986813', 'MGYP003131986838', 'MGYP003128492962', 'MGYP003134444290', 'MGYP003134444350', 'MGYP003134444383', 'MGYP003134444403', 'MGYP001188558140', 'MGYP001453322898', 'MGYP003134444521', 'MGYP003134444654', 'MGYP003331015558', 'MGYP003331015572', 'MGYP003331015613', 'MGYP003331015627', 'MGYP003331015724', 'MGYP003331015739', 'MGYP003323514296', 'MGYP003331015835', 'MGYP003331015983', 'MGYP003331016011', 'MGYP003331016023', 'MGYP003331016054', 'MGYP003331016224', 'MGYP003347452580', 'MGYP003331016224', 'MGYP003331016054', 'MGYP003331016023', 'MGYP003331016011', 'MGYP003331015983', 'MGYP003331015835', 'MGYP003323514296', 'MGYP003331015739', 'MGYP003331015724', 'MGYP003331015627', 'MGYP003331015613', 'MGYP003331015572', 'MGYP003331015558', 'MGYP003347452580', 'MGYP003331016224', 'MGYP003331016054', 'MGYP003331016023', 'MGYP003331016011', 'MGYP003331015983', 'MGYP003331015835', 'MGYP003323514296', 'MGYP003331015739', 'MGYP003331015724', 'MGYP003331015627', 'MGYP003331015613', 'MGYP003331015572', 'MGYP003331015558', 'MGYP003334201546', 'MGYP003333251979', 'MGYP003333519427', 'MGYP003341041055', 'MGYP003341041167', 'MGYP003340714848', 'MGYP003344192104', 'MGYP003626144743', 'MGYP003626144762', 'MGYP003626144821', 'MGYP003626144823', 'MGYP003627242511', 'MGYP003627242522', 'MGYP003627242524', 'MGYP003626701918', 'MGYP003626701964', 'MGYP003626702020', 'MGYP003627242511', 'MGYP003627242522', 'MGYP003627242524', 'MGYP003626701918', 'MGYP003626701964', 'MGYP003626702020', 'MGYP003626701964', 'MGYP003626701918', 'MGYP003627242524', 'MGYP003627242522', 'MGYP003627242511', 'MGYP003627242522', 'MGYP003627242524', 'MGYP003626701918', 'MGYP003626701964', 'MGYP003626702020', 'MGYP003626701918', 'MGYP003627242524', 'MGYP003627242522', 'MGYP003627242511', 'MGYP003388175378', 'MGYP003388175374', 'MGYP003629423282', 'MGYP001278079140', 'MGYP000521613406', 'MGYP003627352942', 'MGYP001017839921', 'MGYP000935221727', 'MGYP003662629166', 'MGYP003662629181', 'MGYP003624779167', 'MGYP003627391449', 'MGYP003662629195', 'MGYP003624281291', 'MGYP003624520222', 'MGYP003662771788', 'MGYP003625000029', 'MGYP003625000032', 'MGYP001443737744', 'MGYP001353003222', 'MGYP003624593646', 'MGYP001374669402', 'MGYP003624593661', 'MGYP001187770503']

Unavailable sequences: 279

