-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,1,2,3,4,5,6,7,8,9,10,Encapsulin MGYP,Pfam -10,Pfam -9,Pfam -8,Pfam -7,Pfam -6,Pfam -5,Pfam -4,Pfam -3,Pfam -2,Pfam -1,Pfam 1,Pfam 2,Pfam 3,Pfam 4,Pfam 5,Pfam 6,Pfam 7,Pfam 8,Pfam 9,Pfam 10
MGYP001949333989,MGYP003115945408,MGYP003115945416,MGYP000088380893,MGYP000456973904,MGYP003115945513,MGYP000536593340,MGYP000327235042,MGYP003145839007,MGYP000321338889,MGYP000675190142,MGYP000129662260,MGYP003629740487,MGYP000377358999,MGYP000651600591,MGYP000023505174,MGYP003115209300,MGYP000563136337,MGYP003115209263,MGYP000430432658,MGYP000002868012,['PF02599'],[],[],['PF07916'],[],"['PF06122', 'PF06122', 'PF06122', 'PF06122']",['PF06834'],['PF07511'],"['PF19044', 'PF11130', 'PF03135', 'PF03135']",[],['PF11920'],['PF11444'],['PF11990'],"['CL0690', 'PF11190']",['PF11660'],['PF14348'],['PF10412'],['PF11072'],['PF01464'],[]
,MGYP003635308868,MGYP003626493852,MGYP003629971255,MGYP000023505174,MGYP000651600591,MGYP000377358999,MGYP003629740487,MGYP000129662260,MGYP000675190142,MGYP003629971147,MGYP003626493926,MGYP003626493954,MGYP003626493963,MGYP003626493969,MGYP003626493974,MGYP003626493980,MGYP003626493982,MGYP003624320946,MGYP003626493994,MGYP000002868012,[],['PF01464'],['PF11072'],['PF10412'],['PF14348'],['PF11660'],"['CL0690', 'PF11190']",['PF11990'],['PF11444'],['PF11920'],[],"['PF19044', 'PF11130', 'PF03135']",['PF07511'],['PF06834'],"['PF06122', 'PF06122', 'PF06122']",[],['PF07916'],[],[],['PF02599']
MGYP000430432658,MGYP003115209263,MGYP000563136337,MGYP003115209300,MGYP000023505174,MGYP000651600591,MGYP000377358999,MGYP003629740487,MGYP000129662260,MGYP000675190142,MGYP000321338889,MGYP003145839007,MGYP000327235042,MGYP000536593340,MGYP003115945513,MGYP000456973904,MGYP003630631825,MGYP003115945416,MGYP003115945408,MGYP001949333989,MGYP000002868012,[],['PF01464'],['PF11072'],['PF10412'],['PF14348'],['PF11660'],"['CL0690', 'PF11190']",['PF11990'],['PF11444'],['PF11920'],[],"['PF19044', 'PF11130', 'PF03135', 'PF03135']",['PF07511'],['PF06834'],"['PF06122', 'PF06122', 'PF06122', 'PF06122']",[],"['CL0322', 'PF07916']",[],[],['PF02599']
MGYP000430432658,MGYP003115209263,MGYP000563136337,MGYP003115209300,MGYP000023505174,MGYP000651600591,MGYP000377358999,MGYP003629740487,MGYP000129662260,MGYP000675190142,MGYP000321338889,MGYP003145839007,MGYP000327235042,MGYP000536593340,MGYP003115945513,MGYP000456973904,MGYP000088380893,MGYP003115945416,MGYP003115945408,MGYP001949333989,MGYP000002868012,[],['PF01464'],['PF11072'],['PF10412'],['PF14348'],['PF11660'],"['CL0690', 'PF11190']",['PF11990'],['PF11444'],['PF11920'],[],"['PF19044', 'PF11130', 'PF03135', 'PF03135']",['PF07511'],['PF06834'],"['PF06122', 'PF06122', 'PF06122', 'PF06122']",[],['PF07916'],[],[],['PF02599']
MGYP000087665821,MGYP000703964854,MGYP000736392069,MGYP000338316496,MGYP002077299657,MGYP000067028803,MGYP000512287377,MGYP000403178503,MGYP000081770201,MGYP000173178704,MGYP000241003398,MGYP000482799648,MGYP000155487403,MGYP000376646145,MGYP000406125095,MGYP000606656294,MGYP000709860896,MGYP000143698383,MGYP000532926311,MGYP000423818695,MGYP000005098346,"['CL0004', 'PF00884']",['PF00072'],"['PF00072', 'PF00196']","['PF02518', 'PF00989', 'PF16927', 'PF00512']",[],['PF09650'],['PF10023'],"['PF00384', 'PF04879', 'PF01568']","['PF00775', 'CL0154']",['PF04261'],"['PF07687', 'PF01546']",['PF10994'],['PF13419'],['PF00082'],['PF01740'],['PF05494'],['PF04333'],['PF02470'],['PF02405'],['PF00005']
MGYP000423818695,MGYP000532926311,MGYP000143698383,MGYP000709860896,MGYP000606656294,MGYP000406125095,MGYP000376646145,MGYP000155487403,MGYP000482799648,MGYP000241003398,MGYP000173178704,MGYP000081770201,MGYP000403178503,MGYP000512287377,MGYP000067028803,MGYP002077299657,MGYP000338316496,MGYP000736392069,MGYP000703964854,MGYP000087665821,MGYP000005098346,['PF00005'],['PF02405'],['PF02470'],['PF04333'],['PF05494'],['PF01740'],['PF00082'],['PF13419'],['PF10994'],"['PF07687', 'PF01546']",['PF04261'],"['PF00775', 'CL0154']","['PF00384', 'PF04879', 'PF01568']",['PF10023'],['PF09650'],[],"['PF02518', 'PF00989', 'PF16927', 'PF00512']","['PF00072', 'PF00196']",['PF00072'],"['CL0004', 'PF00884']"
MGYP000423818695,MGYP000532926311,MGYP000143698383,MGYP000709860896,MGYP000606656294,MGYP000406125095,MGYP000376646145,MGYP000155487403,MGYP000482799648,MGYP000241003398,MGYP000173178704,MGYP000081770201,MGYP000403178503,MGYP000512287377,MGYP000067028803,MGYP002077299657,MGYP000338316496,MGYP000736392069,MGYP000703964854,MGYP000087665821,MGYP000005098346,['PF00005'],['PF02405'],['PF02470'],['PF04333'],['PF05494'],['PF01740'],['PF00082'],['PF13419'],['PF10994'],"['PF07687', 'PF01546']",['PF04261'],"['PF00775', 'CL0154']","['PF00384', 'PF04879', 'PF01568']",['PF10023'],['PF09650'],[],"['PF02518', 'PF00989', 'PF16927', 'PF00512']","['PF00072', 'PF00196']",['PF00072'],"['CL0004', 'PF00884']"
MGYP000507854248,MGYP000269837518,MGYP000667021409,MGYP000538166896,MGYP000255089692,MGYP000378935016,MGYP000075220591,MGYP000301480925,MGYP000334709583,MGYP000429061896,MGYP000594203594,MGYP000172522448,MGYP000331760608,MGYP000412826553,MGYP000437911679,,,,,,MGYP000010339471,[],['PF11753'],[],[],[],['PF06067'],[],[],"['CL0363', 'CL0339']","['PF18760', 'CL0126']",[],[],[],[],[],[],[],[],[],[]
MGYP003363642070,MGYP003364753322,MGYP003363642074,MGYP003363642079,MGYP003363642082,MGYP003364753338,MGYP003363642094,MGYP000409921845,MGYP000642849805,MGYP000115037818,MGYP000156550415,MGYP000129765412,MGYP003363642195,MGYP003363642200,MGYP000578111550,MGYP000448225747,MGYP003363642234,MGYP003364753344,MGYP000094377539,MGYP000489507781,MGYP000012059582,[],[],[],[],[],[],['CL0123'],[],[],['PF01343'],[],[],[],[],[],['CL0123'],['PF02086'],[],[],[]
MGYP000022120395,MGYP000681185354,MGYP000054552857,MGYP001785890390,MGYP000700631919,MGYP001837342379,MGYP000390709112,MGYP000036866958,MGYP000358280466,MGYP000490967398,MGYP000134167572,MGYP000296355975,MGYP001837342382,MGYP000010318615,MGYP000378260950,MGYP000252117929,MGYP000328791367,MGYP000590577521,MGYP000528646295,MGYP000304549653,MGYP000013266575,['PF00496'],['PF00899'],"['PF01926', 'PF06071']","['PF03717', 'PF00905']",[],[],"['PF13408', 'PF07508', 'PF00239']","['PF13408', 'PF07508', 'PF00239']",['CL0123'],"['CL0175', 'CL0123']",[],[],[],['PF13560'],[],"['CL0063', 'PF01555', 'CL0063']",['PF04851'],"['PF18185', 'PF13289']",['PF08937'],['PF08937']
,MGYP001636269912,MGYP000132718131,MGYP001634374141,MGYP000504264913,MGYP000162309851,MGYP000695932911,MGYP001634374173,MGYP000014757658,MGYP000171057124,MGYP000353144581,MGYP000587563558,MGYP001636269914,MGYP001636269915,MGYP000731307583,MGYP000312734436,MGYP001634374261,MGYP000226572045,MGYP001634374281,MGYP000610427734,MGYP000014250595,[],[],"['PF01336', 'PF02938', 'PF00152']","['PF13145', 'PF13145', 'PF13145', 'PF13145', 'PF13624']","['PF02773', 'PF00438', 'PF02772']",['CL0193'],['PF19603'],[],['PF07638'],[],[],"['PF13648', 'PF13648']",[],[],['PF03602'],['PF12864'],[],['PF04055'],['PF13483'],['PF12833']
MGYP003081621609,MGYP003081621620,MGYP000657744308,MGYP000144496472,MGYP003081621650,MGYP000038336433,MGYP000678389341,MGYP002751754157,MGYP000909261574,MGYP003081648573,MGYP000710769976,MGYP000967253794,MGYP003081648639,,,,,,,,MGYP000014413890,['PF01497'],['PF01032'],['PF01032'],['PF00005'],['PF00248'],['PF01206'],['PF04143'],['PF10926'],"['PF02163', 'PF13398']",['PF04261'],"['PF14801', 'PF08704']","['PF17758', 'PF16450', 'PF00004']",[],[],[],[],[],[],[],[]
,,,,MGYP003085065548,MGYP000038336433,MGYP000424619035,MGYP001644060519,MGYP000941113010,MGYP000460280988,MGYP001011018977,MGYP000985533987,MGYP000890899114,MGYP000182826400,MGYP000651867138,MGYP000601713515,MGYP000728455679,MGYP000014744838,MGYP000539849899,MGYP000141548915,MGYP000014413890,[],[],[],[],['PF00248'],['PF01206'],['PF04143'],['PF10926'],['PF02163'],['PF04261'],"['PF08704', 'PF14801']","['PF00004', 'PF17758', 'PF16450']",['PF03136'],[],['PF03136'],['CL0487'],['PF00977'],['PF13828'],['PF13828'],['PF10825']
MGYP000156484819,MGYP000489600366,MGYP000315720981,MGYP000253795611,MGYP000374624886,MGYP000398278283,MGYP000737392432,MGYP000165398493,MGYP001703868451,MGYP000065142872,MGYP000415901884,MGYP000100461359,MGYP000035651033,MGYP000531041725,MGYP003253425148,,,,,,MGYP000016510006,"['PF01588', 'PF03483', 'PF03484', 'PF17759', 'PF03147']",['PF06135'],"['PF00512', 'PF02518', 'PF00072', 'PF00497', 'PF00497']","['PF00391', 'PF02896', 'CL0179', 'PF05524']",['PF00381'],"['PF02302', 'PF00359', 'PF02378']",['PF00294'],"['PF08220', 'PF00455']",[],[],[],[],['CL0202'],[],"['PF07523', 'CL0202', 'PF13731', 'CL0202', 'PF18998', 'PF13731', 'PF07691', 'PF07691', 'CL0202', 'CL0202', 'CL0202']",[],[],[],[],[]
MGYP000156484819,MGYP000489600366,MGYP000315720981,MGYP000253795611,MGYP000374624886,MGYP000398278283,MGYP000737392432,MGYP000165398493,MGYP001703868451,MGYP000065142872,MGYP000415901884,MGYP000100461359,MGYP000035651033,MGYP000531041725,MGYP003253425148,,,,,,MGYP000016510006,"['PF01588', 'PF03483', 'PF03484', 'PF17759', 'PF03147']",['PF06135'],"['PF00512', 'PF02518', 'PF00072', 'PF00497', 'PF00497']","['PF00391', 'PF02896', 'CL0179', 'PF05524']",['PF00381'],"['PF02302', 'PF00359', 'PF02378']",['PF00294'],"['PF08220', 'PF00455']",[],[],[],[],['CL0202'],[],"['PF07523', 'CL0202', 'PF13731', 'CL0202', 'PF18998', 'PF13731', 'PF07691', 'PF07691', 'CL0202', 'CL0202', 'CL0202']",[],[],[],[],[]
,,,,,MGYP003257532430,MGYP000531041725,MGYP000035651033,MGYP000100461359,MGYP000415901884,MGYP000065142872,MGYP001657204566,MGYP000165398493,MGYP000737392432,MGYP000398278283,MGYP000374624886,MGYP000253795611,MGYP000315720981,MGYP000489600366,MGYP000156484819,MGYP000016510006,[],[],[],[],[],"['CL0202', 'PF18998', 'CL0202', 'PF07691', 'CL0202', 'PF07691', 'PF13731', 'CL0202', 'PF07523', 'PF13731', 'CL0202']",[],['CL0202'],[],[],[],[],"['PF08220', 'PF00455']",['PF00294'],"['PF02302', 'PF00359', 'PF02378']",['PF00381'],"['PF00391', 'PF02896', 'CL0179', 'PF05524']","['PF00512', 'PF02518', 'PF00072', 'PF00497', 'PF00497']",['PF06135'],"['PF01588', 'PF03483', 'PF03484', 'PF17759', 'PF03147']"
MGYP003258344571,MGYP000489600366,MGYP000315720981,MGYP000253795611,MGYP000374624886,MGYP000398278283,MGYP000737392432,MGYP000165398493,MGYP001703868451,MGYP000065142872,MGYP000415901884,MGYP000100461359,MGYP000035651033,MGYP000531041725,MGYP000754272266,MGYP000480916965,MGYP000177190324,MGYP000359955154,MGYP000519178702,MGYP003257548047,MGYP000016510006,"['PF03147', 'PF17759']",['PF06135'],"['PF00512', 'PF02518', 'PF00072', 'PF00497', 'PF00497']","['PF00391', 'PF02896', 'CL0179', 'PF05524']",['PF00381'],"['PF02302', 'PF00359', 'PF02378']",['PF00294'],"['PF08220', 'PF00455']",[],[],[],[],['CL0202'],[],"['PF07691', 'PF00395', 'CL0072', 'PF07523', 'CL0202', 'CL0202', 'PF07691', 'PF00395', 'PF13731', 'CL0202', 'PF13731', 'CL0072', 'CL0202', 'PF18998', 'CL0202', 'PF00395', 'PF09479', 'PF03442']",['PF00343'],"['PF00395', 'PF00395', 'PF00395', 'PF02638']",['PF01402'],[],[]
,,,,MGYP003260944812,MGYP003260944907,MGYP000531041725,MGYP000035651033,MGYP000100461359,MGYP000415901884,MGYP000065142872,MGYP001657204566,MGYP000165398493,MGYP000737392432,MGYP000398278283,MGYP000374624886,MGYP000253795611,MGYP000315720981,MGYP000489600366,MGYP000156484819,MGYP000016510006,[],[],[],[],"['CL0202', 'CL0202']","['CL0202', 'PF07691', 'PF13731', 'CL0202', 'PF18998', 'PF13731', 'PF07523']",[],['CL0202'],[],[],[],[],"['PF08220', 'PF00455']",['PF00294'],"['PF02302', 'PF00359', 'PF02378']",['PF00381'],"['PF00391', 'PF02896', 'CL0179', 'PF05524']","['PF00512', 'PF02518', 'PF00072', 'PF00497', 'PF00497']",['PF06135'],"['PF01588', 'PF03483', 'PF03484', 'PF17759', 'PF03147']"
,,,,,MGYP003270629443,MGYP000531041725,MGYP000035651033,MGYP000100461359,MGYP000415901884,MGYP000065142872,MGYP001657204566,MGYP000165398493,MGYP000737392432,MGYP000398278283,MGYP000374624886,MGYP000253795611,MGYP000315720981,MGYP000489600366,MGYP000156484819,MGYP000016510006,[],[],[],[],[],"['PF13731', 'PF07691', 'CL0202', 'CL0202', 'PF18998', 'PF07691', 'CL0202', 'CL0202', 'CL0202', 'PF13731', 'PF07523']",[],['CL0202'],[],[],[],[],"['PF08220', 'PF00455']",['PF00294'],"['PF02302', 'PF00359', 'PF02378']",['PF00381'],"['PF00391', 'PF02896', 'CL0179', 'PF05524']","['PF00512', 'PF02518', 'PF00072', 'PF00497', 'PF00497']",['PF06135'],"['PF01588', 'PF03483', 'PF03484', 'PF17759', 'PF03147']"
MGYP000488829842,MGYP000519178702,MGYP000359955154,MGYP000177190324,MGYP000480916965,MGYP003271284922,MGYP000531041725,MGYP000035651033,MGYP000100461359,MGYP000415901884,MGYP000065142872,MGYP001657204566,MGYP000165398493,MGYP000737392432,MGYP000398278283,MGYP000374624886,MGYP000253795611,MGYP000315720981,MGYP000489600366,MGYP000156484819,MGYP000016510006,"['PF00112', 'PF18560']",[],['PF01402'],"['PF00395', 'PF00395', 'PF00395', 'PF02638']",['PF00343'],"['PF07523', 'PF07691', 'CL0202', 'PF13731', 'PF07691', 'PF18998', 'PF00395', 'CL0072', 'PF00395', 'PF03442', 'CL0202', 'CL0072', 'PF09479', 'PF13731', 'CL0202', 'CL0202', 'CL0202', 'PF00395']",[],['CL0202'],[],[],[],[],"['PF08220', 'PF00455']",['PF00294'],"['PF02302', 'PF00359', 'PF02378']",['PF00381'],"['PF00391', 'PF02896', 'CL0179', 'PF05524']","['PF00512', 'PF02518', 'PF00072', 'PF00497', 'PF00497']",['PF06135'],"['PF01588', 'PF03483', 'PF03484', 'PF17759', 'PF03147']"
,,,,,MGYP003270619902,MGYP000531041725,MGYP000035651033,MGYP000100461359,MGYP000415901884,MGYP000065142872,MGYP001657204566,MGYP000165398493,MGYP000737392432,MGYP000398278283,MGYP000374624886,MGYP000253795611,MGYP000315720981,MGYP000489600366,MGYP000156484819,MGYP000016510006,[],[],[],[],[],"['CL0202', 'PF07523', 'PF13731', 'CL0202', 'CL0202', 'PF07691', 'PF18998', 'PF07691', 'CL0202', 'CL0202', 'PF13731']",[],['CL0202'],[],[],[],[],"['PF08220', 'PF00455']",['PF00294'],"['PF02302', 'PF00359', 'PF02378']",['PF00381'],"['PF00391', 'PF02896', 'CL0179', 'PF05524']","['PF00512', 'PF02518', 'PF00072', 'PF00497', 'PF00497']",['PF06135'],"['PF01588', 'PF03483', 'PF03484', 'PF17759', 'PF03147']"
MGYP000677259562,MGYP000479690443,MGYP000226100745,MGYP000635983647,MGYP000724436361,MGYP000128783793,MGYP000358795199,MGYP003482763087,MGYP000293923398,MGYP000273285396,MGYP000491483662,MGYP001001423760,MGYP000170070404,MGYP000518022250,MGYP001405475915,MGYP000662516983,MGYP000550458727,MGYP000043270925,MGYP000344049618,MGYP000506225395,MGYP000016735148,[],"['PF00389', 'PF02826']",['PF00202'],[],['PF01553'],[],['PF13622'],['PF13561'],['PF00067'],[],['PF04893'],['PF13489'],['PF09990'],"['PF14226', 'PF03171']",['PF12840'],['PF01545'],['PF00950'],['PF00005'],['PF01297'],"['PF00440', 'CL0174']"
MGYP000654745711,MGYP000651788017,MGYP000294945240,MGYP000321449862,MGYP001660940533,MGYP000106222880,MGYP000575022090,MGYP000176955756,MGYP000191775429,MGYP000740251535,MGYP000507295076,MGYP000100270974,MGYP000011824209,MGYP000333244450,MGYP000701845201,MGYP000749001057,MGYP000209406403,MGYP000436514952,MGYP001509074824,MGYP001509596991,MGYP000020747349,[],"['PF00703', 'PF16355', 'PF18565', 'PF02836', 'PF02837']",[],['PF00365'],['PF00884'],['PF00884'],['PF10250'],[],[],[],[],"['PF05683', 'PF05681']",['PF01209'],['PF01259'],[],['PF13604'],"['PF14815', 'PF00730']",[],[],[]
MGYP001512447302,MGYP000645883689,MGYP003083924905,MGYP000749001057,MGYP000465908002,MGYP000333244450,MGYP000418725656,MGYP001511072041,MGYP000100270974,MGYP000507295076,MGYP000740251535,MGYP000191775429,MGYP000176955756,MGYP000575022090,MGYP000106222880,MGYP000457162979,MGYP000321449862,MGYP000294945240,MGYP000651788017,MGYP000654745711,MGYP000020747349,[],"['PF06082', 'PF06082']","['PF00730', 'PF14815']",['PF13604'],[],['PF01259'],['PF01209'],[],"['PF05683', 'PF05681']",[],[],[],[],['PF10250'],['PF00884'],['PF00884'],['PF00365'],[],"['PF00703', 'PF16355', 'PF18565', 'PF02836', 'PF02837']",[]
MGYP001512447302,MGYP003087273734,MGYP003083924905,MGYP000749001057,MGYP000465908002,MGYP000333244450,MGYP000418725656,MGYP001511072041,MGYP000100270974,MGYP000507295076,MGYP000740251535,MGYP000191775429,MGYP000176955756,MGYP000575022090,MGYP000106222880,MGYP000457162979,MGYP000321449862,MGYP000294945240,,,MGYP000020747349,[],['PF06082'],"['PF00730', 'PF14815']",['PF13604'],[],['PF01259'],['PF01209'],[],"['PF05683', 'PF05681']",[],[],[],[],['PF10250'],['PF00884'],['PF00884'],['PF00365'],[],[],[]
MGYP000365838618,MGYP000147134463,MGYP000807003951,MGYP003186446278,MGYP002418810048,MGYP000388928300,MGYP000575022090,MGYP000052772268,MGYP000191775429,MGYP000740251535,MGYP000507295076,MGYP000100270974,MGYP000011824209,MGYP000212333664,MGYP000701845201,MGYP000749001057,MGYP000209406403,MGYP000601587909,MGYP001509596991,MGYP000701937385,MGYP000020747349,[],"['PF00703', 'PF02836', 'PF02837', 'PF16355', 'PF18565']",['PF00365'],['PF00365'],['PF00884'],['PF00884'],['PF10250'],[],[],[],[],"['PF05683', 'PF05681']",['PF01209'],['PF01259'],[],['PF13604'],"['PF14815', 'PF00730']",['PF06082'],[],"['PF12954', 'PF12954', 'PF12954', 'PF12954']"
MGYP000486573059,MGYP000740187099,MGYP000097654519,MGYP000321449862,MGYP000294924491,MGYP000106222880,MGYP000619513915,MGYP000537016428,MGYP000191775429,MGYP000740251535,MGYP000507295076,MGYP000100270974,MGYP001511072041,MGYP000011824209,MGYP000333244450,MGYP000701845201,MGYP000749001057,MGYP000209406403,MGYP000436514952,MGYP001509596991,MGYP000020747349,"['PF00703', 'PF02837', 'PF16355', 'PF18565', 'PF02836']",[],[],['PF00365'],['PF00884'],['PF00884'],['CL0113'],[],[],[],[],"['PF05683', 'PF05681']",[],['PF01209'],['PF01259'],[],['PF13604'],"['PF14815', 'PF00730']",[],[]
MGYP000486573059,MGYP000740187099,MGYP000097654519,MGYP000321449862,MGYP000294924491,MGYP000106222880,MGYP000619513915,MGYP000537016428,MGYP000191775429,MGYP000740251535,MGYP000507295076,MGYP000100270974,MGYP000011824209,MGYP000333244450,MGYP000701845201,MGYP000749001057,MGYP000209406403,MGYP000436514952,MGYP001509074824,MGYP001509596991,MGYP000020747349,"['PF00703', 'PF02837', 'PF16355', 'PF18565', 'PF02836']",[],[],['PF00365'],['PF00884'],['PF00884'],['CL0113'],[],[],[],[],"['PF05683', 'PF05681']",['PF01209'],['PF01259'],[],['PF13604'],"['PF14815', 'PF00730']",[],[],[]
,,,,,,,,,,MGYP000210913923,MGYP000440923708,MGYP000302337966,MGYP000732851641,MGYP000709268781,MGYP000163742109,MGYP000101819115,MGYP000700424898,MGYP000620805076,MGYP000334773445,MGYP000022196991,[],[],[],[],[],[],[],[],[],[],['CL0236'],['PF02825'],['PF01510'],"['CL0202', 'CL0202']",['CL0023'],['PF12705'],['PF13479'],"['PF02195', 'PF01555']",['PF03167'],['PF00692']
